,account_value,date,daily_return,datadate
246,2404342.871160001,2024-03-27,-0.007564843774378,2024-03-27
247,2450921.86116,2024-03-28,0.0193728567413211,2024-03-28
248,2412414.621160001,2024-04-01,-0.0157113291166998,2024-04-01
249,2268732.0511600003,2024-04-02,-0.0595596497963981,2024-04-02
250,2286570.25116,2024-04-03,0.0078626296970059,2024-04-03
251,2372673.87116,2024-04-04,0.0376562320603615,2024-04-04
252,2350085.94116,2024-04-05,,2024-04-05
253,2478447.56176,2024-04-08,0.054619968721927,2024-04-08
254,2393773.14302,2024-04-09,-0.034164297056933,2024-04-09
255,2443632.74302,2024-04-10,0.0208288743423268,2024-04-10
256,2422923.74302,2024-04-11,-0.0084746777350864,2024-04-11
257,2324749.04302,2024-04-12,-0.0405191043601034,2024-04-12
258,2198385.3530200003,2024-04-15,-0.0543558412807626,2024-04-15
259,2210184.24302,2024-04-16,0.0053670708748996,2024-04-16
260,2123679.9230199996,2024-04-17,-0.0391389633118551,2024-04-17
261,2199650.55302,2024-04-18,0.0357731074144005,2024-04-18
262,2211210.25302,2024-04-19,0.0052552438314028,2024-04-19
263,2313925.49302,2024-04-22,0.0464520458240977,2024-04-22
264,2299184.58302,2024-04-23,-0.0063705205912922,2024-04-23
265,2225863.45302,2024-04-24,-0.0318900581282134,2024-04-24
266,2233410.7930199997,2024-04-25,0.0033907470782899,2024-04-25
267,2208221.65302,2024-04-26,-0.0112783282317442,2024-04-26
268,2212104.1730199996,2024-04-29,0.0017582111807887,2024-04-29
269,2101821.08302,2024-04-30,-0.0498543835977849,2024-04-30
270,2021717.83302,2024-05-01,-0.038111355265741,2024-05-01
271,2049696.01302,2024-05-02,0.0138388154583406,2024-05-02
272,2180576.31302,2024-05-03,0.063853517384347,2024-05-03
273,2189140.4630199997,2024-05-06,0.0039274708932974,2024-05-06
274,2160709.87302,2024-05-07,-0.0129871017781924,2024-05-07
275,2121404.72302,2024-05-08,-0.0181908503731986,2024-05-08
276,2186958.6330199996,2024-05-09,0.0309011803776311,2024-05-09
277,2109113.80302,2024-05-10,-0.0355950171277371,2024-05-10
278,2182165.3730200003,2024-05-13,0.034636144287425,2024-05-13
279,2135156.1730199996,2024-05-14,-0.0215424552974838,2024-05-14
280,2295688.83302,2024-05-15,0.0751854417154602,2024-05-15
281,2261885.91302,2024-05-16,-0.014724521683338,2024-05-16
282,2322893.30302,2024-05-17,0.0269719129726331,2024-05-17
283,2471790.56302,2024-05-20,0.0640999135889788,2024-05-20
284,2427929.07302,2024-05-21,-0.0177448246045612,2024-05-21
285,2392427.39302,2024-05-22,-0.014622206387537,2024-05-22
286,2351772.49302,2024-05-23,-0.0169931593822292,2024-05-23
287,2372489.63302,2024-05-24,0.0088091599257531,2024-05-24
288,2364546.2930199997,2024-05-28,-0.0033481031442439,2024-05-28
289,2338548.5630199993,2024-05-29,-0.0109948069431942,2024-05-29
290,2365263.7230200004,2024-05-30,0.011423820921427,2024-05-30
291,2336550.3930200003,2024-05-31,-0.0121395892223546,2024-05-31
292,2381271.74302,2024-06-03,0.0191399039085979,2024-06-03
293,2441050.6630200003,2024-06-04,0.0251037791781743,2024-06-04
294,2460743.28302,2024-06-05,0.008067272137497,2024-06-05
295,2448988.7230199995,2024-06-06,-0.0047768331142509,2024-06-06
296,2399308.4530200004,2024-06-07,-0.0202860346121706,2024-06-07
297,2405340.97302,2024-06-10,0.0025142744745496,2024-06-10
298,2331029.7130199997,2024-06-11,-0.0308942727178922,2024-06-11
299,2363114.13302,2024-06-12,0.0137640544952268,2024-06-12
