,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
6,2020-01-10,vwo,45.27,45.43,45.2,45.32,14887291.0,4.0,0.546916159007786,45.44432906283636,43.64667093716365,63.36444777909943,102.67748821813719,39.2199593006115,43.838,43.02633333333334,12.5600004196167,4.493926587327368
7,2020-01-13,agg,112.91,112.94,112.825,112.89,4465340.0,0.0,0.07486947172992586,113.10440583601086,112.14159416398915,52.548608274689734,98.89023225267195,2.702642109642034,112.638,112.60633333333334,12.319999694824219,7.86704048689549
7,2020-01-13,bil,91.48,91.48,91.47,91.48,1459520.0,0.0,-0.003839342097776921,91.52608988471894,91.39191011528106,49.44359757708932,31.981724728751455,6.561938012695057,91.46533333333333,91.4955,12.319999694824219,7.86704048689549
7,2020-01-13,gld,145.82,146.38,145.78,146.35,7603649.0,0.0,2.04903560889764,149.37726607048603,136.34973392951395,61.050325956729274,102.64237019866265,39.90468821861515,141.34900000000002,140.389,12.319999694824219,7.86704048689549
7,2020-01-13,spy,327.95,327.96,325.92,326.39,47262010.0,0.0,3.266812031257018,327.63603828640885,317.08496171359104,67.42656392864657,129.841862324715,41.01256125467136,319.334,313.0588333333333,12.319999694824219,7.86704048689549
7,2020-01-13,vb,166.9,166.99,165.35,165.87,521944.0,0.0,0.9731339784811155,167.25428639674567,163.9727136032543,61.396673349733355,89.50045185081159,20.87868581983275,164.532,161.71283333333332,12.319999694824219,7.86704048689549
7,2020-01-13,vnq,93.39,93.4,92.34,92.37,5553852.0,0.0,0.10257378842000264,93.2692666566116,89.94573334338837,54.27484326197962,122.939293002549,8.082314231217858,91.82566666666666,92.46800000000002,12.319999694824219,7.86704048689549
7,2020-01-13,vo,180.71,180.71,179.42,179.78,353902.0,0.0,1.3755781120920574,180.43465809464922,175.75534190535078,64.80634405794262,132.1421644529798,41.44575013524688,176.76866666666666,174.05533333333332,12.319999694824219,7.86704048689549
7,2020-01-13,vwo,45.89,45.92,45.45,45.51,8974150.0,0.0,0.5992717052127077,45.65460082393878,43.65139917606123,66.16557679941114,127.72488761390687,46.45855290355056,43.94866666666666,43.1015,12.319999694824219,7.86704048689549
8,2020-01-14,agg,113.01,113.02,112.93,112.97,3626984.0,1.0,0.08926028597544189,113.13846903700063,112.12753096299936,53.43731281505344,131.38186825752848,6.427828249112527,112.643,112.61116666666666,12.390000343322754,4.48866312686364
8,2020-01-14,bil,91.48,91.49,91.48,91.48,1056107.0,1.0,-0.0022599106462877216,91.52608988471894,91.39191011528106,49.44359757708932,60.73888541012942,12.707295709160041,91.46266666666665,91.4945,12.390000343322754,4.48866312686364
8,2020-01-14,gld,145.69,145.81,145.082,145.42,6607124.0,1.0,1.9531208054973206,149.56616128931074,136.82483871068928,60.67388100633,85.12232628791047,30.659391365088943,141.61,140.47366666666667,12.390000343322754,4.48866312686364
8,2020-01-14,spy,327.45,328.62,326.844,327.47,63036384.0,1.0,3.2986499400885236,328.0492413359473,317.68475866405277,66.57414179088192,129.21024565464253,43.424874390619195,319.772,313.52833333333336,12.390000343322754,4.48866312686364
8,2020-01-14,vb,167.47,168.14,166.4,166.78,3864089.0,1.0,1.0398574955084428,167.2863093662797,164.35369063372028,62.43626088743612,124.7995618898199,31.047514100310565,164.681,161.92050000000003,12.390000343322754,4.48866312686364
8,2020-01-14,vnq,93.04,93.35,92.5238,93.3,4120680.0,1.0,0.17154064579807482,93.41065341233575,90.07334658766423,53.06350614766275,118.67050097235993,8.082314231217861,91.82466666666666,92.45516666666667,12.390000343322754,4.48866312686364
8,2020-01-14,vo,180.93,181.45,179.64,180.54,317674.0,1.0,1.4487669609430327,180.69844994075194,176.03455005924806,65.17857482039395,136.0194218916458,46.20388904627001,176.969,174.27233333333334,12.390000343322754,4.48866312686364
8,2020-01-14,vwo,45.68,45.68,45.46,45.62,13281114.0,1.0,0.6167095638608586,45.74664867043901,43.75835132956099,64.43921632973701,114.59807063469427,46.45855290355057,44.06933333333333,43.171,12.390000343322754,4.48866312686364
9,2020-01-15,agg,113.18,113.19,113.07,113.18,3896304.0,2.0,0.11307918276636997,113.22345470261399,112.10254529738603,54.92203409556624,171.2015003144946,13.914670897885593,112.66600000000001,112.6175,12.420000076293945,3.1723893899570026
9,2020-01-15,bil,91.49,91.49,91.48,91.49,862337.0,2.0,-0.00019898958717590176,91.52444255873603,91.39255744126397,50.686238546063144,65.96141879274984,12.707295709160043,91.464,91.49366666666667,12.420000076293945,3.1723893899570026
9,2020-01-15,gld,146.54,146.73,145.82,146.21,6510029.0,2.0,1.923522360605375,149.79245256203205,137.34854743796797,62.248399227011554,95.47393998719288,36.56560927089698,141.90166666666667,140.575,12.420000076293945,3.1723893899570026
9,2020-01-15,spy,328.19,329.02,327.26,327.35,72056598.0,2.0,3.345034057377177,328.74568675970335,317.8573132402966,67.20883737790214,131.5916474334802,44.88510968589577,320.3236666666666,314.032,12.420000076293945,3.1723893899570026
9,2020-01-15,vb,167.86,168.72,167.17,167.17,5931804.0,2.0,1.111394638529788,167.556329249923,164.435670750077,63.13887667990537,145.76225423827904,35.515642526055416,164.90033333333332,162.14366666666666,12.420000076293945,3.1723893899570026
9,2020-01-15,vnq,93.88,94.08,93.27,93.31,4471563.0,2.0,0.2906281762703884,93.76842173248204,90.00357826751795,55.52778422024375,177.85834863521566,17.64349989989834,91.89866666666667,92.44433333333333,12.420000076293945,3.1723893899570026
9,2020-01-15,vo,181.49,182.0974,180.5,180.83,383485.0,2.0,1.5342708515135541,181.19495768373605,176.010042316264,66.12209887570394,151.9132694379461,50.003368590188146,177.24266666666665,174.50083333333333,12.420000076293945,3.1723893899570026
9,2020-01-15,vwo,45.39,45.59,45.305,45.54,13064562.0,2.0,0.6002097714756687,45.795888723926886,43.84211127607312,62.12364445665529,100.04924036030248,40.413967354755364,44.18,43.2375,12.420000076293945,3.1723893899570026
10,2020-01-16,agg,113.18,113.21,113.05,113.16,2801378.0,3.0,0.1304520599357062,113.29714430605108,112.08785569394891,54.92203409556625,163.50431453463835,13.91467089788558,112.67200000000001,112.62899999999999,12.319999694824219,2.6400633644308202
10,2020-01-16,bil,91.51,91.51,91.49,91.49,1104232.0,3.0,0.0030134014373430773,91.52801046789031,91.3909895321097,53.07266811130617,105.78105781055663,24.11359382024787,91.46633333333332,91.493,12.319999694824219,2.6400633644308202
10,2020-01-16,gld,146.31,146.4658,145.755,146.27,6069101.0,3.0,1.8600646347144902,149.8813520703154,137.9896479296846,61.55849821012351,85.08116306421314,35.692703155643045,142.14166666666668,140.68366666666665,12.319999694824219,2.6400633644308202
10,2020-01-16,spy,330.92,330.92,329.45,329.7,54050328.0,3.0,3.5610326215505665,329.9985209738828,317.73947902611724,69.42453345524024,164.8722153290861,51.27126865199557,321.036,314.5475,12.319999694824219,2.6400633644308202
10,2020-01-16,vb,169.81,169.92,168.8632,168.95,614333.0,3.0,1.3103323472954287,168.47387319055616,164.01112680944385,66.3905284990573,220.16787859649804,43.59879954702145,165.20466666666667,162.3826666666667,12.319999694824219,2.6400633644308202
10,2020-01-16,vnq,94.63,94.63,93.87,94.03,4426740.0,3.0,0.44044743032962685,94.17802814528656,90.04297185471341,57.58465634303575,208.66503842767312,24.009619788605537,91.97800000000001,92.434,12.319999694824219,2.6400633644308202
10,2020-01-16,vo,183.37,183.37,182.24,182.35,1776680.0,3.0,1.73374802103163,182.12399002859914,175.76500997140087,69.03588815811204,205.52151851155676,56.464384864572246,177.61633333333333,174.7411666666667,12.319999694824219,2.6400633644308202
